R,Romeo,ˈroːmiˑo,[ˈɹoʊmi.oʊ],/ˈroʊmiːoʊ/ ROH-mee-oh,ROW ME OH,ROW ME OH,ROW ME OH,ROWME OH or ROW-ME-OH,ro mi o,ROW me oh
S,Sierra,siˈerɑ,[siˈɛɾʌ],/siːˈɛrɑː/ see-ERR-ah,SEE AIR RAH,SEE AIR RAH,SEE AIR RAH,SEEAIRAH or SEE-AIR-AH,si èr rah,see AIR ah
T,Tango,ˈtænɡo,[ˈtæŋɡoʊ],/ˈtæŋɡoʊ/ TANG-goh,TANG OH,TANG GO,TANG GO,TANGGO or TANG-GO,tang go,TANG go
U,Uniform,ˈjuːnifɔːm  or ˈuːnifɔrm,"[ˈjunɪ̈fɔ˞m], [ˈunɪ̈fɔ˞m]",/ˈjuːniːfɔːrm/ EW-nee-form or /ˈuːniːfɔːrm/ OO-nee-form,YOU NEE FORM or OO NEE FORM,YOU NEE FORM or OO NEE FORM,YOU NEE FORM or OO NEE FORM,YOUNEE FORM or YOU-NEE-FORM or OO-NEE-FORM,"you ni form, ou ni form",YOU nee form
V,Victor,ˈviktɑ,[ˈvɪktəɹ],/ˈvɪktɑː/ VIK-tah,VIK TAH,VIK TAH,VIK TAH,VIKTAH or VIK-TAR,vik tar,VIK ter
W,Whiskey,ˈwiski,[ˈwɪski],/ˈwɪskiː/ WIS-kee,WISS KEY,WISS KEY,WISS KEY,WISSKEY or WISS-KEY,ouiss ki,WISS key
X,X-ray or Xray,ˈeksˈrei,[ˈɛksɹeɪ],/ˈɛksreɪ/ EKS-ray or /ˌɛksˈreɪ/ EKS-RAY,ECKS RAY,ECKS RAY,ECKS RAY,ECKSRAY  [sic] or ECKS-RAY,èkss ré,EKS ray
Y,Yankee,ˈjænki,[ˈjæŋki],/ˈjæŋkiː/ YANG-kee,YANG KEY,YANG KEY,YANG KEY,YANGKEY  [sic] or YANG-KEY,yang ki,YANG kee
Z,Zulu,ˈzuːluː,[ˈzulu],/ˈzuːluː/ ZOO-loo,ZOO LOO,ZOO LOO,ZOO LOO,ZOOLOO or ZOO-LOO,zou lou,ZOO luu
0,Zero,,,/ˈziːroʊ/ ZEE-roh /ˌnɑːˌdɑːˌzeɪˈroʊ/ NAH-DAH-ZAY-ROH,ZE-RO,NAH-DAH-ZAY-ROH,NADAZERO,Zero,zi ro,ZE-RO
1,One,,,/ˈwʌn/ WUN /ˌuːˌnɑːˈwʌn/ OO-NAH-WUN,WUN,OO-NAH-WUN,UNAONE,One,ouann,WUN; Won (USMC)[16]
2,Two,,,/ˈtuː/ TOO /ˌbiːˌsoʊˈtuː/ BEE-SOH-TOO,TOO,BEES-SOH-TOO,BISSOTWO,Two,tou,TOO
3,Three,,,/ˈtriː/ TREE /ˌteɪˌrɑːˈtriː/ TAY-RAH-TREE,TREE,TAY-RAH-TREE,TERRATHREE,Three,tri,TREE
4,Four,,,/ˈfoʊ.ər/ FOH-ər /ˌkɑːrˌteɪˈfoʊ.ər/ KAR-TAY-FOH-ər,FOW-er,KAR-TAY-FOWER,KARTEFOUR,Four,fo eur,FOW-ER
5,Five,,,/ˈfaɪf/ FYF[17] /ˌpænˌtɑːˈfaɪv/ PAN-TAH-FYV,FIFE,PAN-TAH-FIVE,PANTAFIVE,Five,fa ïf,FIFE
6,Six,,,/ˈsɪks/ SIKS /ˌsɔːkˌsiːˈsɪks/ SOK-SEE-SIKS,SIX,SOK-SEE-SIX,SOXISIX,Six,siks,SIX
7,Seven,,,/ˈsɛvɛn/ SEV-en /ˌseɪˌteɪˈsɛvɛn/ SAY-TAY-SEV-en,SEV-en,SAY-TAY-SEVEN,SETTESEVEN,Seven,sèv n,SEV-EN
8,Eight,,,/ˈeɪt/ AYT /ˌɔːkˌtoʊˈeɪt/ OK-TOH-AYT,AIT,OK-TOH-AIT,OKTOEIGHT,Eight,eït,AIT
9,Nine,,,/ˈnaɪnər/ NY-nər[18] /ˌnɔːvˌeɪˈnaɪnər/ NOV-AY-NY-nər,NIN-er,NO-VAY-NINER,NOVENINE,Niner,naï neu,NIN-ER
. (decimal point),Decimal point,,,/ˌdeɪˌsiːˈmæl/ DAY-SEE-MAL,DAY-SEE-MAL,,,POINT,dè si mal,DAY-SEE-MAL (ITU)
100,Hundred,,,/ˈhʌndrɛd/ HUN-dred,HUN-dred,,,,hun-dred,
1000,Thousand,,,/ˌtaʊˈsænd/ TOW-ZEND[19],TOU-SAND,,,,taou zend,TOU-SAND
- (hyphen),Dash,,,/ˈdæʃ/ DASH,,,imo,faa,,
. (full stop),Period,,,/ˈstɒp/ STOP,,,,,,STOP (ITU)
